value,time
10.0,0
8.59,1
7.57,2
8.38,3
8.57,4
7.36,5
7.32,6
6.91,7
5.15,8
5.48,9
6.02,10
4.15,11
4.82,12
5.43,13
2.42,14
2.54,15
2.23,16
1.34,17
2.14,18
2.5,19
1.85,20
1.63,21
1.8,22
2.01,23
1.83,24
0.55,25
-0.05,26
-0.64,27
0.27,28
0.38,29
-0.19,30
-0.63,31
-1.47,32
-2.19,33
-3.42,34
-4.39,35
-4.87,36
-4.36,37
-3.65,38
-5.5,39
-3.55,40
-1.33,41
-1.69,42
-1.32,43
-0.81,44
-0.27,45
-0.48,46
-0.14,47
0.11,48
-0.4,49
-0.41,50
-0.27,51
0.43,52
0.25,53
0.72,54
0.55,55
-0.31,56
1.13,57
0.39,58
-0.1,59
-0.05,60
1.32,61
0.67,62
0.09,63
-1.01,64
-1.26,65
-1.3,66
-0.24,67
-1.22,68
-0.72,69
-0.67,70
-1.89,71
-1.64,72
-0.92,73
-1.05,74
-0.04,75
0.49,76
0.48,77
0.19,78
-0.47,79
-1.73,80
-3.68,81
-6.32,82
-7.73,83
-7.34,84
-6.68,85
-7.21,86
-8.02,87
-8.64,88
-8.02,89
-8.65,90
-9.27,91
-9.56,92
-9.21,93
-9.11,94
-9.34,95
-10.06,96
-10.44,97
-9.96,98
-12.27,99
-11.18,100
-12.3,101
-10.67,102
-11.03,103
-11.3,104
-8.76,105
-10.15,106
-11.14,107
-11.3,108
-11.8,109
-10.81,110
-9.29,111
-10.54,112
-10.53,113
-12.16,114
-10.74,115
-11.01,116
-10.52,117
-12.38,118
-11.32,119
-11.17,120
-11.12,121
-11.05,122
-10.7,123
-13.47,124
-14.11,125
-14.75,126
-15.86,127
-13.77,128
-13.71,129
-14.31,130
-15.52,131
-16.51,132
-16.76,133
-15.77,134
-15.32,135
-15.83,136
-16.46,137
-16.05,138
-15.84,139
-16.34,140
-16.9,141
-17.72,142
-18.07,143
-18.03,144
-16.44,145
-16.65,146
-17.78,147
-17.44,148
-18.36,149
-18.5,150
-17.18,151
-17.53,152
-17.31,153
-19.28,154
-19.05,155
-17.7,156
-14.9,157
-13.77,158
-13.44,159
-14.01,160
-15.78,161
-15.37,162
-14.79,163
-14.85,164
-15.62,165
-16.15,166
-16.73,167
-17.24,168
-17.21,169
-16.87,170
-18.12,171
-18.35,172
-19.22,173
-18.63,174
-18.61,175
-20.01,176
-20.04,177
-19.53,178
-20.21,179
-20.42,180
-21.24,181
-19.29,182
-18.11,183
-18.84,184
-19.5,185
-19.46,186
-20.31,187
-16.96,188
-16.21,189
-18.53,190
-18.65,191
-18.84,192
-18.94,193
-19.98,194
-19.94,195
-18.89,196
-19.57,197
-19.02,198
-20.52,199
-18.75,200
-18.98,201
-17.66,202
-16.57,203
-16.1,204
-14.16,205
-12.57,206
-11.59,207
-11.6,208
-12.7,209
-13.64,210
-16.15,211
-17.56,212
-18.47,213
-17.56,214
-17.81,215
-17.24,216
-18.08,217
-17.52,218
-17.56,219
-16.91,220
-15.85,221
-14.71,222
-15.86,223
-15.76,224
-16.28,225
-14.83,226
-14.83,227
-12.68,228
-10.89,229
-11.23,230
-11.86,231
-11.71,232
-12.58,233
-12.1,234
-12.36,235
-12.85,236
-45.82,237
-12.67,238
-13.0,239
-12.83,240
-12.17,241
-12.76,242
-14.53,243
-14.79,244
-16.95,245
-16.42,246
-17.27,247
-18.0,248
-16.25,249
-17.08,250
-15.57,251
-15.36,252
-15.5,253
-14.94,254
-14.67,255
-13.06,256
-12.17,257
-13.06,258
-12.99,259
-13.25,260
-14.2,261
-14.05,262
-14.21,263
-14.99,264
-16.47,265
-17.35,266
-17.71,267
-17.06,268
-17.35,269
-17.42,270
-16.49,271
-14.82,272
-14.56,273
-13.2,274
-11.43,275
-11.36,276
-11.62,277
-10.63,278
-9.67,279
-9.29,280
-9.15,281
-8.5,282
-8.04,283
-6.3,284
-6.61,285
-5.7,286
-6.37,287
-4.55,288
-5.67,289
-5.35,290
-2.94,291
-2.92,292
-2.27,293
-2.56,294
-0.47,295
-1.5,296
-0.44,297
-1.49,298
-0.64,299
-1.88,300
-2.44,301
-1.16,302
-2.89,303
-2.49,304
-3.16,305
-3.79,306
-4.14,307
-2.77,308
-5.88,309
-5.36,310
-4.1,311
-2.58,312
-2.38,313
-1.78,314
-2.94,315
-3.29,316
-3.48,317
-2.52,318
-1.14,319
-2.9,320
-2.59,321
-2.72,322
-3.28,323
-3.88,324
-4.7,325
-6.06,326
-5.96,327
-5.88,328
-5.86,329
-2.12,330
0.01,331
0.91,332
-2.31,333
-2.2,334
-2.39,335
-1.11,336
-3.45,337
-2.44,338
-2.64,339
-2.78,340
-2.49,341
-2.84,342
-1.9,343
-0.77,344
-2.08,345
-1.49,346
-2.47,347
-2.97,348
-1.75,349
-0.72,350
-0.6,351
-1.45,352
-2.38,353
-2.2,354
-0.75,355
-1.65,356
-2.71,357
-3.56,358
-3.21,359
-5.39,360
-5.71,361
-4.4,362
-4.68,363
-3.99,364
-3.63,365
-4.52,366
-6.13,367
-5.07,368
-3.51,369
-2.46,370
-5.24,371
-4.5,372
-4.33,373
-5.12,374
-5.44,375
-5.56,376
-3.76,377
-1.9,378
-1.47,379
-2.09,380
-0.43,381
-2.29,382
-2.93,383
-1.54,384
-1.06,385
-1.85,386
0.41,387
-2.2,388
-4.37,389
-3.3,390
-1.6,391
-2.08,392
-0.69,393
-0.38,394
-1.97,395
-1.05,396
-0.35,397
-0.48,398
0.57,399
0.5,400
0.14,401
-1.34,402
-1.75,403
-0.92,404
-2.85,405
-2.69,406
-2.74,407
-1.72,408
-1.39,409
-0.89,410
-1.31,411
-1.75,412
-0.66,413
-0.19,414
-0.71,415
-1.41,416
-2.96,417
-1.71,418
-0.04,419
-1.39,420
-2.3,421
-3.03,422
-3.06,423
-2.89,424
-2.88,425
-4.15,426
-2.17,427
-0.59,428
-0.86,429
-0.97,430
-1.5,431
-1.11,432
-2.01,433
-2.45,434
-2.74,435
-2.31,436
-4.48,437
-4.06,438
-4.58,439
-4.72,440
-4.92,441
-3.85,442
-4.92,443
-4.86,444
-3.97,445
-5.66,446
-5.75,447
-4.55,448
-6.59,449
-7.32,450
-7.29,451
-5.6,452
-5.76,453
-4.61,454
-5.65,455
-6.37,456
-4.75,457
-3.18,458
-5.28,459
-5.13,460
-4.71,461
-2.06,462
-1.66,463
-1.71,464
-0.9,465
-0.32,466
-1.21,467
-1.01,468
0.31,469
0.27,470
-0.13,471
0.61,472
-0.2,473
-0.14,474
1.23,475
2.73,476
1.24,477
0.82,478
0.99,479
1.14,480
1.64,481
2.91,482
1.73,483
1.72,484
1.83,485
3.25,486
4.92,487
4.63,488
3.98,489
